Case	Project	pos. predictive value rate	true positive rate
Clusterin	RBH / BBH	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	RSD 0.8 1e-5 Deluca	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	metaPhOrs incomplete	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	orthoinspector 1.30 (blast threshold 10-9)	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	phylomeDB	0.8182 +- 0.322343	0.6923 +- 0.354819
Clusterin	Ensembl Compara (e81)	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	Hieranoid 2	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	InParanoid	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	InParanoidCore	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	OMA GETHOGs	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	OMA Groups (RefSet5)	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	PANTHER 8.0 (LDO only)	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	OMA Pairs (Refset5)	0.8462 +- 0.277375	0.8462 +- 0.277375
GH14	EggNOG	0.5 +- 0.692965	0.5 +- 0.692965
GH14	PANTHER 8.0 (all)	0.5 +- 0.692965	0.5 +- 0.692965
GH14	RBH / BBH	0.5 +- 0.692965	0.5 +- 0.692965
GH14	RSD 0.8 1e-5 Deluca	0.5 +- 0.692965	0.5 +- 0.692965
GH14	metaPhOrs incomplete	0.5 +- 0.692965	0.5 +- 0.692965
GH14	orthoinspector 1.30 (blast threshold 10-9)	0.5 +- 0.692965	0.5 +- 0.692965
GH14	phylomeDB	0.5 +- 0.692965	0.5 +- 0.692965
GH14	Ensembl Compara (e81)	0.5 +- 0.692965	0.5 +- 0.692965
GH14	Hieranoid 2	0.5 +- 0.692965	0.5 +- 0.692965
GH14	InParanoid	0.5 +- 0.692965	0.5 +- 0.692965
GH14	InParanoidCore	0.5 +- 0.692965	0.5 +- 0.692965
GH14	OMA GETHOGs	0.5 +- 0.692965	0.5 +- 0.692965
GH14	OMA Groups (RefSet5)	0.5 +- 0.692965	0.5 +- 0.692965
GH14	PANTHER 8.0 (LDO only)	0.5 +- 0.692965	0.5 +- 0.692965
GH14	OMA Pairs (Refset5)	0.5 +- 0.692965	0.5 +- 0.692965
HOX	EggNOG	0.9124 +- 0.0669477	0.448 +- 0.0825239
HOX	PANTHER 8.0 (all)	0.4529 +- 0.0748289	0.552 +- 0.0825239
HOX	RBH / BBH	0.9381 +- 0.0628574	0.3799 +- 0.0805455
HOX	RSD 0.8 1e-5 Deluca	0.9368 +- 0.0691761	0.319 +- 0.0773458
HOX	metaPhOrs incomplete	0.8905 +- 0.0610401	0.6416 +- 0.0795777
HOX	orthoinspector 1.30 (blast threshold 10-9)	0.8246 +- 0.0806208	0.5054 +- 0.0829687
HOX	phylomeDB	0.9109 +- 0.0785786	0.3297 +- 0.0780151
HOX	Ensembl Compara (e81)	0.5455 +- 0.115417	0.2796 +- 0.0744748
HOX	Hieranoid 2	0.86 +- 0.0961799	0.3082 +- 0.076629
HOX	InParanoid	0.9138 +- 0.0722331	0.3799 +- 0.0805455
HOX	InParanoidCore	0.9359 +- 0.0768732	0.2616 +- 0.0729391
HOX	OMA GETHOGs	0.5854 +- 0.106634	0.3441 +- 0.0788364
HOX	OMA Groups (RefSet5)	0.918 +- 0.0973544	0.2007 +- 0.0664677
HOX	PANTHER 8.0 (LDO only)	0.9344 +- 0.0878504	0.2043 +- 0.0669081
HOX	OMA Pairs (Refset5)	0.8333 +- 0.102283	0.3047 +- 0.0763792
MAPT	EggNOG	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	PANTHER 8.0 (all)	0.7778 +- 0.384124	0.7778 +- 0.384124
MAPT	RBH / BBH	0.7778 +- 0.384124	0.7778 +- 0.384124
